date,time_5min,小客車_車速,小貨車_車速,大客車_車速,大貨車_車速,聯結車_車速
2025-07-04,00:00:00,106.0,97.0,0.0,94.0,94.0
2025-07-04,00:05:00,104.0,100.0,97.0,93.0,89.0
2025-07-04,00:10:00,106.0,102.0,97.0,94.0,94.0
2025-07-04,00:15:00,104.0,102.0,91.0,93.0,89.0
2025-07-04,00:20:00,106.0,103.0,95.0,95.0,93.0
2025-07-04,00:25:00,106.0,106.0,95.0,97.0,85.0
2025-07-04,00:30:00,108.0,109.0,94.0,103.0,88.0
2025-07-04,00:35:00,106.0,91.0,92.0,88.0,92.0
2025-07-04,00:40:00,108.0,106.0,95.0,98.0,95.0
2025-07-04,00:45:00,106.0,95.0,0.0,88.0,92.0
2025-07-04,00:50:00,106.0,96.0,103.0,99.0,88.0
2025-07-04,00:55:00,104.0,100.0,99.0,91.0,90.0
2025-07-04,01:00:00,104.0,104.0,89.0,95.0,85.0
2025-07-04,01:05:00,102.0,100.0,106.0,93.0,90.0
2025-07-04,01:10:00,103.0,98.0,101.0,85.0,93.0
2025-07-04,01:15:00,107.0,103.0,103.0,100.0,93.0
2025-07-04,01:20:00,106.0,105.0,107.0,95.0,91.0
2025-07-04,01:25:00,106.0,106.0,0.0,97.0,93.0
2025-07-04,01:30:00,108.0,102.0,88.0,95.0,91.0
2025-07-04,01:35:00,102.0,101.0,0.0,97.0,97.0
2025-07-04,01:40:00,102.0,107.0,99.0,97.0,88.0
2025-07-04,01:45:00,104.0,92.0,100.0,98.0,90.0
2025-07-04,01:50:00,101.0,101.0,95.0,93.0,91.0
2025-07-04,01:55:00,108.0,101.0,94.0,97.0,91.0
2025-07-04,02:00:00,106.0,100.0,99.0,92.0,89.0
2025-07-04,02:05:00,99.0,106.0,90.0,89.0,94.0
2025-07-04,02:10:00,107.0,106.0,98.0,90.0,89.0
2025-07-04,02:15:00,106.0,102.0,63.0,98.0,89.0
2025-07-04,02:20:00,106.0,94.0,0.0,93.0,89.0
2025-07-04,02:25:00,104.0,100.0,99.0,93.0,97.0
2025-07-04,02:30:00,103.0,89.0,0.0,93.0,94.0
